Poř.,,Jméno,FED,Rtg,,Body,PH 1,PH 2,PH 3
1,,Kluba Matyáš,CZE,1099,,6,0,27,30
2,,Večerka Filip,CZE,0,,5.5,0,"24,5",25
3,,Reed David,CZE,0,,5,0,28,"28,5"
4,,Pleský Maxim,CZE,1109,,5,0,"27,5","29,5"
5,,Štefek Robin,CZE,0,,5,0,"24,5","25,5"
6,,Loskot Jakub,CZE,1226,,4,0,"27,5","30,5"
7,,Lanč Dominik,CZE,0,,4,0,26,"27,5"
8,,Ozorovský Jindřich,CZE,1016,,4,0,25,27
9,,Mlčoch Michael,CZE,0,,4,0,20,"20,5"
10,,Ječný Martin,CZE,0,,3.5,0,"26,5","28,5"
11,,Bedri Jakub,CZE,0,,3,0,"22,5","23,5"
12,,Zerzavý Radovan,CZE,0,,3,0,22,23
13,,Mrkva Pavel,CZE,0,,3,0,19,20
14,,Holub Ivan,CZE,0,,3,0,18,"18,5"
15,,Jurošková Adéla,CZE,0,,2,0,"21,5",22
16,,Brablecová Kristína,CZE,0,,1.5,0,20,"20,5"
17,,Hurajt Tomáš,CZE,0,,1,0,"18,5",19
18,,Brablec Michal,CZE,0,,0.5,0,21,22
